City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Udachnyy,RU,66.4167,112.4,28.45,92,100,18.28,light snow
80,Bibiani,GH,6.4635,-2.3194,71.47,99,100,2.17,overcast clouds
81,Bengkulu,ID,-3.8004,102.2655,78.22,82,100,3.09,overcast clouds
82,Yuanping,CN,38.7153,112.7575,53.51,21,96,0.51,overcast clouds
83,Kapaa,US,22.0752,-159.319,80.58,95,75,21.85,moderate rain
84,Maumere,ID,-8.6199,122.2111,82.72,76,93,3.15,overcast clouds
85,Puerto Maldonado,PE,-12.6,-69.1833,75.6,88,75,0.0,broken clouds
86,Boa Vista,BR,2.8197,-60.6733,80.58,74,40,10.36,scattered clouds
87,Rikitea,PF,-23.1203,-134.9692,78.64,70,35,13.56,light rain
88,Harper,LR,4.375,-7.7169,78.24,86,95,4.38,moderate rain
89,Constitucion,CL,-35.3333,-72.4167,53.06,84,3,7.23,clear sky
90,Castro,BR,-24.7911,-50.0119,52.32,88,0,4.43,clear sky
91,Luwuk,ID,-0.9516,122.7875,81.73,82,97,2.73,overcast clouds
92,Prince Rupert,CA,54.3161,-130.3201,48.29,49,0,11.5,clear sky
93,Arraial Do Cabo,BR,-22.9661,-42.0278,73.29,68,1,14.23,clear sky
94,Busselton,AU,-33.65,115.3333,59.2,64,22,9.17,few clouds
95,Basirhat,IN,22.6685,88.8697,80.58,90,49,11.9,scattered clouds
96,Methoni,GR,36.8197,21.7049,64.26,64,89,2.98,overcast clouds
97,Iwanai,JP,42.9744,140.5089,50.74,60,99,11.03,overcast clouds
98,Lorengau,PG,-2.0226,147.2712,84.63,71,32,5.57,scattered clouds
99,Nuuk,GL,64.1835,-51.7216,25.41,68,20,10.36,few clouds
100,Mecca,SA,21.4267,39.8261,80.69,36,0,2.08,clear sky
101,Valmiera,LV,57.5411,25.4275,29.41,83,56,4.18,broken clouds
102,Sitka,US,57.0531,-135.33,46.29,53,0,6.91,clear sky
103,Pacifica,US,37.6138,-122.4869,64.44,71,20,14.97,few clouds
104,Tofield,CA,53.3668,-112.6686,32.38,42,100,8.3,overcast clouds
105,Port Alfred,ZA,-33.5906,26.891,60.19,92,100,10.07,overcast clouds
106,Nalut,LY,30.3333,10.85,55.06,68,27,8.39,scattered clouds
107,Vestmannaeyjar,IS,63.4427,-20.2734,46.69,94,100,15.41,light rain
108,Padang,ID,-0.9492,100.3543,77.05,83,83,3.78,broken clouds
109,Iquique,CL,-20.2208,-70.1431,62.92,79,25,4.56,scattered clouds
110,Sur,OM,22.5667,59.5289,85.96,39,8,4.85,clear sky
111,Luau,AO,-10.7073,22.2247,64.29,97,100,2.64,overcast clouds
112,Mgandu,TZ,-5.95,34.1333,57.81,98,100,4.18,overcast clouds
113,Champerico,GT,14.3,-91.9167,85.19,65,24,11.92,few clouds
114,Aksarka,RU,66.5606,67.7975,3.4,96,100,1.48,overcast clouds
115,Longyearbyen,SJ,78.2186,15.6401,21.04,73,75,5.75,broken clouds
116,Salalah,OM,17.0151,54.0924,80.69,89,20,3.44,few clouds
117,Yakeshi,CN,49.2833,120.7333,34.86,31,16,8.23,few clouds
118,Port Hardy,CA,50.6996,-127.4199,50.18,53,40,11.5,scattered clouds
119,Mairang,IN,25.5667,91.6333,57.76,81,9,6.71,clear sky
120,Geraldton,AU,-28.7667,114.6,66.61,77,98,12.66,overcast clouds
121,Solvychegodsk,RU,61.3305,46.9156,20.61,99,29,1.86,scattered clouds
122,Bethel,US,41.3712,-73.414,50.49,83,100,10.36,overcast clouds
123,Kurchum,KZ,48.5722,83.6542,43.75,31,0,5.06,clear sky
124,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.45,73,57,11.56,broken clouds
125,Devanhalli,IN,13.2325,77.6992,69.85,100,40,1.14,mist
126,Kharitonovo,RU,61.4009,47.4978,20.88,99,33,1.61,scattered clouds
127,Eenhana,NA,-17.4667,16.3333,67.95,81,98,5.35,overcast clouds
128,Port Macquarie,AU,-31.4333,152.9167,69.89,72,47,6.06,scattered clouds
129,Menongue,AO,-14.6585,17.691,61.61,96,99,2.98,overcast clouds
